Date/Time,Word Count,en,ru
2022.12.26-19.59.51,171,171,0
2022.12.26-20.15.33,168,168,7
2022.12.26-20.20.08,161,161,7
2022.12.26-20.23.14,159,159,12
2022.12.26-20.27.05,156,156,12
2023.01.03-02.33.20,182,182,27
2023.01.03-02.58.48,158,158,76
2023.01.03-03.17.31,152,152,76
2023.01.03-03.21.44,146,146,75
2023.01.03-03.26.44,146,146,74
2023.01.03-03.33.48,136,136,100
2023.01.03-04.01.00,137,137,100
2023.01.05-03.13.25,149,149,101
2023.01.05-03.19.03,148,148,116
2023.01.05-04.06.21,161,161,115
2023.01.05-04.12.57,159,159,141
2023.01.05-07.46.23,163,163,141
2023.01.05-07.49.37,163,163,145
2023.01.05-07.54.00,166,166,145
2023.01.05-07.55.56,164,164,145
2023.01.05-07.58.41,162,162,162
2023.01.05-08.03.07,165,165,158
2023.01.05-08.05.45,163,163,161
2023.01.05-08.07.59,163,163,163
2023.01.07-15.21.40,208,208,163
2023.01.07-15.59.48,207,207,207
2023.01.11-13.32.41,210,210,207
2023.01.11-13.35.38,210,210,210
2023.01.18-15.19.25,212,212,210
2024.05.11-06.54.09,510,510,109
2024.05.11-08.39.03,509,509,256
2024.05.11-08.45.50,481,481,264
2024.05.11-08.49.58,457,457,264
2024.05.11-23.02.07,457,457,270
2024.05.12-00.23.23,457,457,279
2024.05.12-08.52.08,457,457,277
2024.05.12-10.44.56,453,453,299
2024.05.15-07.52.00,559,559,299
2024.05.16-07.13.14,563,563,405
2024.05.16-07.18.27,566,566,410
2024.05.16-07.27.52,566,566,411
2024.05.16-07.50.02,566,566,414
2024.05.16-17.00.16,567,567,414
2024.05.16-18.21.48,577,577,415
